Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
FL Tampa,FLSCG 443.525,25K,Turbo,443.525,448.525,146.2,146.2,Off
FL Tampa,NI4CE Ri 442.550,25K,Turbo,442.55,447.55,100,100,Off
FL Tampa,NI4CE Ho 443.450,25K,Turbo,443.45,448.45,100,100,Off
FL Tampa,SARNet 442.250,25K,Turbo,442.25,447.25,146.2,146.2,Off
FL Tampa,SARNet 442.850,25K,Turbo,442.85,447.85,146.2,146.2,Off
FL Tampa,W4CLL FM,25K,Turbo,145.41,144.81,131.8,131.8,Off
