Zone,Channel Name,Power,RX Freq,TX Freq,Color Code,Talk Group,TimeSlot,Call Type,TX Permit
CapPk 440.7125,CapPk TAC-3,Turbo,440.7125,445.7125,1,TAC 3,2,Group Call,Same Color Code
CapPk 440.7125,CapPk TAC-310,Turbo,440.7125,445.7125,1,TAC 310,2,Group Call,Same Color Code
CapPk 440.7125,CapPk TAC-311,Turbo,440.7125,445.7125,1,TAC 311,2,Group Call,Same Color Code
CapPk 440.7125,CapPk USA-Wide,Turbo,440.7125,445.7125,1,USA-wide,2,Group Call,Same Color Code
CapPk 440.7125,CapPk WA 2,Turbo,440.7125,445.7125,1,WA 2,2,Group Call,Same Color Code
CapPk 440.7125,CapPk WA State,Turbo,440.7125,445.7125,1,WA State,1,Group Call,Same Color Code
CapPk 440.7125,CapPk WA State,Turbo,440.7125,445.7125,1,WA State,1,Group Call,Same Color Code
BawFaw 146.500,BawFaw Audio Tst,Turbo,146.5,147.5,1,Audio Test,2,Group Call,Same Color Code
BawFaw 146.500,BawFaw CascadesE,Turbo,146.5,147.5,1,CascadeEast,1,Group Call,Same Color Code
BawFaw 146.500,BawFaw CA State,Turbo,146.5,147.5,1,CA State,1,Group Call,Same Color Code
BawFaw 146.500,BawFaw I-5,Turbo,146.5,147.5,1,I-5,1,Group Call,Same Color Code
BawFaw 146.500,BawFaw ID State,Turbo,146.5,147.5,1,ID State,1,Group Call,Same Color Code
BawFaw 146.500,BawFaw Local 1,Turbo,146.5,147.5,1,Local 1,1,Group Call,Same Color Code
BawFaw 146.500,BawFaw Local 2,Turbo,146.5,147.5,1,Local 2,2,Group Call,Same Color Code
BawFaw 146.500,BawFaw Net 2,Turbo,146.5,147.5,1,Net 2,2,Group Call,Same Color Code
BawFaw 146.500,BawFaw OR State,Turbo,146.5,147.5,1,OR State,1,Group Call,Same Color Code
BawFaw 146.500,BawFaw Parrot,Turbo,146.5,147.5,1,Parrot,1,Group Call,Same Color Code
BawFaw 146.500,BawFaw PNW 1,Turbo,146.5,147.5,1,PNW 1,1,Group Call,Same Color Code
BawFaw 146.500,BawFaw PNW 2,Turbo,146.5,147.5,1,PNW 2,2,Group Call,Same Color Code
BawFaw 146.500,BawFaw PNWR,Turbo,146.5,147.5,1,PNWR,2,Group Call,Same Color Code
BawFaw 146.500,BawFaw TAC-1,Turbo,146.5,147.5,1,TAC 1,2,Group Call,Same Color Code
BawFaw 146.500,BawFaw TAC-2,Turbo,146.5,147.5,1,TAC 2,2,Group Call,Same Color Code
BawFaw 146.500,BawFaw TAC-3,Turbo,146.5,147.5,1,TAC 3,2,Group Call,Same Color Code
BawFaw 146.500,BawFaw TAC-310,Turbo,146.5,147.5,1,TAC 310,2,Group Call,Same Color Code
BawFaw 146.500,BawFaw TAC-311,Turbo,146.5,147.5,1,TAC 311,2,Group Call,Same Color Code
BawFaw 146.500,BawFaw USA-Wide,Turbo,146.5,147.5,1,USA-wide,2,Group Call,Same Color Code
BawFaw 146.500,BawFaw WA 2,Turbo,146.5,147.5,1,WA 2,2,Group Call,Same Color Code
BawFaw 146.500,BawFaw WA State,Turbo,146.5,147.5,1,WA State,1,Group Call,Same Color Code
BawFaw 146.500,BawFaw WA State,Turbo,146.5,147.5,1,WA State,1,Group Call,Same Color Code
Shelton 444.2375,Shltn Audio Test,Turbo,444.2375,449.2375,1,Audio Test,2,Group Call,Same Color Code
Shelton 444.2375,Shltn CascadesE,Turbo,444.2375,449.2375,1,CascadeEast,1,Group Call,Same Color Code
Shelton 444.2375,Shltn CA State,Turbo,444.2375,449.2375,1,CA State,1,Group Call,Same Color Code
Shelton 444.2375,Shltn I-5,Turbo,444.2375,449.2375,1,I-5,1,Group Call,Same Color Code
Shelton 444.2375,Shltn ID State,Turbo,444.2375,449.2375,1,ID State,1,Group Call,Same Color Code
Shelton 444.2375,Shltn Local 1,Turbo,444.2375,449.2375,1,Local 1,1,Group Call,Same Color Code
Shelton 444.2375,Shltn Local 2,Turbo,444.2375,449.2375,1,Local 2,2,Group Call,Same Color Code
Shelton 444.2375,Shltn Net 2,Turbo,444.2375,449.2375,1,Net 2,2,Group Call,Same Color Code
Shelton 444.2375,Shltn OR State,Turbo,444.2375,449.2375,1,OR State,1,Group Call,Same Color Code
Shelton 444.2375,Shltn Parrot,Turbo,444.2375,449.2375,1,Parrot,1,Group Call,Same Color Code
Shelton 444.2375,Shltn PNW 1,Turbo,444.2375,449.2375,1,PNW 1,1,Group Call,Same Color Code
Shelton 444.2375,Shltn PNW 2,Turbo,444.2375,449.2375,1,PNW 2,2,Group Call,Same Color Code
Shelton 444.2375,Shltn PNWR,Turbo,444.2375,449.2375,1,PNWR,2,Group Call,Same Color Code
Shelton 444.2375,Shltn TAC-1,Turbo,444.2375,449.2375,1,TAC 1,2,Group Call,Same Color Code
Shelton 444.2375,Shltn TAC-2,Turbo,444.2375,449.2375,1,TAC 2,2,Group Call,Same Color Code
Shelton 444.2375,Shltn TAC-3,Turbo,444.2375,449.2375,1,TAC 3,2,Group Call,Same Color Code
Shelton 444.2375,Shltn TAC-310,Turbo,444.2375,449.2375,1,TAC 310,2,Group Call,Same Color Code
Shelton 444.2375,Shltn TAC-311,Turbo,444.2375,449.2375,1,TAC 311,2,Group Call,Same Color Code
Shelton 444.2375,Shltn USA-Wide,Turbo,444.2375,449.2375,1,USA-wide,2,Group Call,Same Color Code
Shelton 444.2375,Shltn WA 2,Turbo,444.2375,449.2375,1,WA 2,2,Group Call,Same Color Code
Shelton 444.2375,Shltn WA State,Turbo,444.2375,449.2375,1,WA State,1,Group Call,Same Color Code
Shelton 444.2375,Shltn WA State,Turbo,444.2375,449.2375,1,WA State,1,Group Call,Same Color Code
Wes HS 438.0125,Wes CascadesE,Low,438.0125,438.0125,7,CascadeEast,1,Group Call,Always
Wes HS 438.0125,Wes CA State,Low,438.0125,438.0125,7,CA State,1,Group Call,Always
Wes HS 438.0125,Wes I-5,Low,438.0125,438.0125,7,I-5,1,Group Call,Always
Wes HS 438.0125,Wes ID State,Low,438.0125,438.0125,7,ID State,1,Group Call,Always
Wes HS 438.0125,Wes OR State,Low,438.0125,438.0125,7,OR State,1,Group Call,Always
Wes HS 438.0125,Wes Parrot,Low,438.0125,438.0125,7,Parrot,1,Group Call,Always
Wes HS 438.0125,Wes PNW 1,Low,438.0125,438.0125,7,PNW 1,1,Group Call,Always
Wes HS 438.0125,Wes PNWR,Low,438.0125,438.0125,7,PNWR,1,Group Call,Always
Wes HS 438.0125,Wes TAC-1,Low,438.0125,438.0125,7,TAC 1,1,Group Call,Always
Wes HS 438.0125,Wes TAC-2,Low,438.0125,438.0125,7,TAC 2,1,Group Call,Always
Wes HS 438.0125,Wes TAC-8,Low,438.0125,438.0125,7,TAC 8,1,Group Call,Always
Wes HS 438.0125,Wes TAC-310,Low,438.0125,438.0125,7,TAC 310,1,Group Call,Always
Wes HS 438.0125,Wes USA-Wide,Low,438.0125,438.0125,7,USA-wide,1,Group Call,Always
Wes HS 438.0125,Wes WA 2,Low,438.0125,438.0125,7,WA 2,1,Group Call,Always
Wes HS 438.0125,Wes WA State,Low,438.0125,438.0125,7,WA State,1,Group Call,Always
Wes HS 438.0125,Wes WW 91,Low,438.0125,438.0125,7,91_WW,1,Group Call,Always
Wes BM Control,Wes 9 Local/Ref,Low,438.0125,438.0125,7,TG 9,1,Group Call,Always
Wes BM Control,Wes 4000 Disc,Low,438.0125,438.0125,7,4000_Disconn,1,Group Call,Always
