Zone Name
Ham Simplex
Public Safety
ETC ARES
Bremerton/Gold
Tacoma/Baldi
Olympia/Cap Pk
Wes HS 438.0125
Wes BM Control
Shelton/SpncrLk
Boistfort/BawFaw
Beachnet
WA Analog Rptrs
PC ARES Main
PC ARES External
PC ARES Simplex
PC ARES Nat Call
PC ARES X-Band
GMRS / FRS
MURS
Marine
NOAA Wx
OR Analog Rptrs
OR Seaside
OR N7PIR Net
