Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
PC ARES Nat Call,V-Call 146.520,25K,High,146.52,146.52,Off,Off,Off
PC ARES Nat Call,U-Call 446.000,25K,High,446,446,Off,Off,Off
PC ARES Nat Call,FRS SOS 462.5625,12.5K,Low,462.5625,462.5625,Off,Off,Off
PC ARES X-Band,PCxb1 440.0250,25K,Low,440.025,440.025,97.4,97.4,Off
PC ARES X-Band,PCxb2 441.4250,25K,Low,441.425,441.425,97.4,97.4,Off
PC ARES X-Band,PCxb3 441.4375,25K,Low,441.4375,441.4375,97.4,97.4,Off
PC ARES X-Band,PCxb4 441.4500,25K,Low,441.45,441.45,97.4,97.4,Off
PC ARES X-Band,PCxb5 441.4625,25K,Low,441.4625,441.4625,97.4,97.4,Off
PC ARES X-Band,PCxb6 441.4750,25K,Low,441.475,441.475,97.4,97.4,Off
PC ARES X-Band,PCxb7 441.4875,25K,Low,441.4875,441.4875,97.4,97.4,Off
PC ARES X-Band,PCxb8 446.4125,25K,Low,446.4125,446.4125,97.4,97.4,Off
PC ARES X-Band,PCxb9 446.4250,25K,Low,446.425,446.425,97.4,97.4,Off
PC ARES X-Band,PCxb10 446.4375,25K,Low,446.4375,446.4375,97.4,97.4,Off
PC ARES X-Band,PCxb11 146.580,25K,Low,146.58,146.58,97.4,97.4,Off
PC ARES X-Band,PCxb12 147.440,25K,Low,147.44,147.44,97.4,97.4,Off
PC ARES X-Band,PCxb13 147.460,25K,Low,147.46,147.46,97.4,97.4,Off
PC ARES X-Band,PCxb14 147.480,25K,Low,147.48,147.48,97.4,97.4,Off
PC ARES X-Band,PCxb15 147.500,25K,Low,147.5,147.5,97.4,97.4,Off
PC ARES X-Band,PCxb16 147.520,25K,Low,147.52,147.52,97.4,97.4,Off
PC ARES X-Band,PCxb17 147.540,25K,Low,147.54,147.54,97.4,97.4,Off
PC ARES X-Band,PCxb18 147.560,25K,Low,147.56,147.56,97.4,97.4,Off
PC ARES X-Band,PCxb19 147.580,25K,Low,147.58,147.58,97.4,97.4,Off
PC ARES X-Band,PCxb20 147.600,25K,Low,147.6,147.6,97.4,97.4,Off
