Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
NOAA Wx,Wx-1  162.400,25K,Low,162.4000,162.4000,Off,Off,On
NOAA Wx,Wx-2  162.425,25K,Low,162.4250,162.4250,Off,Off,On
NOAA Wx,Wx-3  162.450,25K,Low,162.4500,162.4500,Off,Off,On
NOAA Wx,Wx-4  162.475,25K,Low,162.4750,162.4750,Off,Off,On
NOAA Wx,Wx-5  162.500,25K,Low,162.5000,162.5000,Off,Off,On
NOAA Wx,Wx-6  162.525,25K,Low,162.5250,162.5250,Off,Off,On
NOAA Wx,Wx-7  162.550,25K,Low,162.5500,162.5500,Off,Off,On
