Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
Public Safety,Fire Disp,12.5K,Low,154.19,154.19,Off,Off,On
Public Safety,Fire Disp D2,12.5K,Low,154.385,154.385,Off,Off,On
Public Safety,Fire Disp D4,12.5K,Low,154.325,154.325,Off,Off,On
Public Safety,Fire Disp D5,12.5K,Low,154.34,154.34,Off,Off,On
Public Safety,Fire Disp D7,12.5K,Low,156.1875,156.1875,Off,Off,On
Public Safety,Gray-E Disp,12.5K,Low,155.565,155.565,167.9,Off,On
Public Safety,Gray-East 2,12.5K,Low,155.91,155.91,186.2,Off,On
Public Safety,Gray-W Disp,12.5K,Low,154.725,154.725,192.8,Off,On
Public Safety,Gray-West 2,12.5K,Low,155.31,155.31,192.8,Off,On
