Zone Name
Ham Simplex
Public Safety
ETC ARES
Gold 440.7000
Baldi 441.350
CapPk 440.7125
Wes HS 438.0125
Wes BM Control
Shelton 444.2375
BawFaw 146.500
Beachnet
WA Analog Rptrs
PC ARES Main
PC ARES External
PC ARES Simplex
PC ARES Nat Call
PC ARES X-Band
GMRS / FRS
MURS
Marine
NOAA Wx
OR Analog Rptrs
OR Seaside
OR N7PIR Net
