Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
Public Safety,Lewis-SO,12.5K,Low,155.6250,155.6250,88.5,Off,On
Public Safety,RedNet,12.5K,Low,153.83,153.83,Off,Off,On
Public Safety,LERN,12.5K,Low,155.37,155.37,Off,Off,On
Public Safety,OSCCR-OnSceneCmd,12.5K,Low,156.135,156.135,Off,Off,On
