Zone Name,Comment,Power,RX Freq,TX Freq,Color Code,ARRG 2,Alberta 2,Audio Test 2,BC 1,BC 2,BayNet 2,Bridge 2,Cactus 2,California 1,Canada 2,Cascades 1;Cascad 1,Comm 1,Comm 2,Fusion 2,Hawaii 1-2,I-5-1,I-84-2,Idaho 1,Idaho ARES 2,Inland 2,Local 1,Local 2,Local Net 1,MPRG 1-2,Manitoba 2,Mountain 2,Michigan 1,Montana 2,Net 2,New Brunswick 2;New Bruns 2,North America 2;North Am 2,Ontario 2,Oregon 1,PNW 1,PNW 2,PNW Regional 2;PNW Reg 2,Parrot 1,PS1-DNU,PS2-DNU,Quebec 2,SNARS 1-2,SoCal 2,TAC 1-2,TAC 2-2,TAC 3-2,TAC 310-2,TAC 311-2,TAC 312-2,TAC 313-2,TAC 314-2,TAC 315-2,TAC 316-2,TAC 317-2,TAC 318-2,TAC 319-2,TAC 8-2,TG 9,TAC Eng 123-2;TAC Eng 2,USA 2,Utah 2,Wash 1,Wash 2,Worldwide 2,Worldwide Eng 2;WW Eng 2,WW Eng 113-2
Everson WA;EVE,,High,440.375,445.375,1,-,-,2,1,-,-,2,-,1,-,1,1,-,-,-,1,-,-,-,-,1,2,-,-,-,-,-,-,2,-,2,-,1,1,2,2,1,1,2,-,-,-,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,-,-
Gresham/Hospital;GRH,,High,443.075,448.075,1,2,-,2,-,-,2,2,2,1,-,1,1,-,-,-,1,2,1,-,2,1,2,-,2,-,2,-,2,2,-,2,-,1,1,2,2,1,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,2,2,-
Hillsburo/Saddle;HIS,,High,440.8125,445.8125,1,2,-,2,-,-,2,2,2,1,-,1,1,-,-,-,1,2,1,-,2,1,2,-,2,-,2,-,2,2,-,2,-,1,1,2,2,1,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,2,2,-
HoodRiver/Burd;HOB,,High,443.075,448.075,1,2,-,2,-,-,2,2,2,1,-,1,1,-,-,-,1,2,1,-,2,1,2,-,2,-,2,-,2,2,-,2,-,1,1,2,2,1,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,2,2,-
Kelso/Columbia;KEC,,High,444.7125,449.7125,1,-,-,2,-,-,-,2,-,1,-,-,-,-,-,2,1,-,-,-,-,1,2,-,-,-,2,-,-,-,-,2,-,1,1,2,-,1,-,-,-,-,-,2,-,-,2,2,2,-,-,-,-,-,-,-,-,-,2,2,-,1,2,2,2,-
Kelso/Rainier;KER,,High,441.7,446.7,1,-,-,2,-,-,-,2,-,-,-,-,-,-,-,2,1,-,-,-,-,1,2,-,-,-,2,-,-,-,-,2,-,1,1,2,-,1,-,-,-,-,-,2,-,-,2,2,2,-,-,-,-,-,-,-,-,-,2,2,-,1,2,2,2,-
Lewiston ID;LEW,,High,442.1,447.1,1,-,-,2,1,-,-,2,-,-,-,1,-,-,-,-,-,-,1,-,-,1,2,-,2,-,-,-,2,2,-,-,-,1,1,2,2,1,-,-,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,2,2,1,2,-,-,-
Mazama VHF;MAZ,,High,145.21,147.99,3,-,-,2,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,1,2,-,-,-,-,-,2,2,-,2,-,1,1,2,2,1,1,2,-,-,-,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,-,-
MM/Bridget 430;MMB,,Low,430.4125,430.4125,1,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,-,-,-,2,2,-,1,-,-,-,1,-,-,-,-,-,1,1,-,-,-,1,1,-,-,-
MM/HotSpot 430;MMH,,Low,430.4125,430.4125,1,-,-,1,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,1,1,-,-,1,-,1,-,-,1,1,-,-,-,1,1,-,-,-,1,1,1,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-
